iter	Passed	Remaining
0	86	86344
1	90	45287
2	94	31537
3	99	24778
4	103	20523
5	105	17517
6	108	15385
7	110	13762
8	113	12531
9	115	11444
10	117	10582
11	119	9854
12	121	9235
13	123	8680
14	125	8221
15	127	7858
16	130	7534
17	131	7197
18	133	6886
19	135	6617
20	136	6371
21	138	6158
22	141	5991
23	142	5801
24	144	5623
25	145	5462
26	147	5311
27	149	5177
28	150	5044
29	152	4929
30	154	4843
31	157	4751
32	158	4656
33	160	4568
34	162	4475
35	164	4392
36	165	4306
37	167	4232
38	169	4175
39	171	4118
40	173	4052
41	178	4064
42	182	4060
43	185	4031
44	188	3999
45	190	3957
46	193	3919
47	195	3879
48	198	3845
49	200	3803
50	202	3775
51	204	3735
52	206	3697
53	208	3661
54	211	3634
55	213	3593
56	214	3550
57	216	3508
58	217	3469
59	219	3432
60	220	3395
61	222	3362
62	223	3331
63	226	3305
64	227	3273
65	229	3241
66	230	3208
67	231	3177
68	233	3150
69	234	3120
70	236	3097
71	238	3077
72	240	3057
73	242	3031
74	243	3004
75	245	2980
76	246	2956
77	248	2934
78	250	2914
79	251	2896
80	253	2875
81	255	2863
82	256	2837
83	258	2820
84	260	2806
85	263	2796
86	264	2776
87	266	2764
88	269	2758
89	271	2748
90	273	2734
91	275	2722
92	277	2705
93	278	2687
94	280	2669
95	282	2659
96	284	2649
97	286	2637
98	288	2624
99	289	2608
100	291	2594
101	292	2579
102	294	2563
103	296	2553
104	298	2546
105	300	2532
106	302	2523
107	304	2510
108	305	2499
109	307	2487
110	309	2474
111	310	2462
112	312	2453
113	314	2446
114	316	2436
115	318	2425
116	319	2411
117	321	2401
118	322	2391
119	324	2380
120	327	2381
121	329	2373
122	331	2362
123	333	2352
124	334	2343
125	336	2333
126	337	2321
127	339	2312
128	341	2309
129	344	2303
130	346	2296
131	347	2287
132	349	2277
133	350	2267
134	352	2258
135	354	2249
136	356	2246
137	359	2243
138	362	2244
139	363	2235
140	365	2229
141	367	2217
142	368	2209
143	370	2200
144	372	2193
145	373	2187
146	375	2181
147	378	2177
148	379	2168
149	381	2160
150	382	2153
151	384	2144
152	386	2138
153	388	2133
154	390	2126
155	391	2118
156	393	2110
157	394	2103
158	396	2097
159	398	2091
160	399	2081
161	401	2077
162	403	2070
163	405	2067
164	406	2059
165	408	2052
166	409	2044
167	412	2041
168	413	2034
169	415	2028
170	417	2024
171	419	2018
172	420	2012
173	422	2004
174	423	1997
175	425	1991
176	427	1985
177	428	1978
178	430	1973
179	431	1967
180	434	1968
181	436	1962
182	438	1956
183	439	1949
184	441	1942
185	442	1935
186	444	1930
187	446	1927
188	449	1926
189	450	1922
190	452	1917
191	454	1912
192	455	1906
193	457	1899
194	458	1894
195	460	1891
196	463	1889
197	466	1889
198	468	1883
199	469	1877
200	471	1872
201	472	1867
202	474	1862
203	476	1857
204	477	1853
205	479	1849
